date,bike_numbers
2018-05-14,6546
2018-05-15,6719
2018-05-16,7015
2018-05-17,6742
2018-05-18,6310
2018-05-19,3858
2018-05-20,3492
2018-05-21,6692
2018-05-22,6531
2018-05-23,6364
2018-05-24,6622
2018-05-25,6087
2018-05-26,3600
2018-05-27,3761
2018-05-28,3744
2018-05-29,6916
2018-05-30,6754
2018-05-31,6979
2018-06-01,7027
2018-06-02,4895
2018-06-03,4200
2018-06-04,7469
2018-06-05,7721
2018-06-06,7615
2018-06-07,7208
2018-06-08,6832
2018-06-09,3710
2018-06-10,3694
2018-06-11,7087
2018-06-12,7868
2018-06-13,7850
2018-06-14,7878
2018-06-15,6859
2018-06-16,4092
2018-06-17,3639
2018-06-18,7470
2018-06-19,7562
2018-06-20,7387
2018-06-21,7616
2018-06-22,7480
2018-06-23,4795
2018-06-24,4584
2018-06-25,7596
2018-06-26,8282
2018-06-27,7687
2018-06-28,8120
2018-06-29,7519
2018-06-30,4226
2018-07-01,3174
2018-07-02,6720
2018-07-03,7142
2018-07-04,3946
2018-07-05,6368
2018-07-06,6695
2018-07-07,4435
2018-07-08,4089
2018-07-09,7752
2018-07-10,8126
2018-07-11,8053
2018-07-12,7995
2018-07-13,7572
2018-07-14,4399
2018-07-15,4076
2018-07-16,7697
2018-07-17,7681
2018-07-18,8038
2018-07-19,7975
2018-07-20,7435
2018-07-21,4660
2018-07-22,4120
2018-07-23,7564
2018-07-24,8004
2018-07-25,8280
2018-07-26,7701
2018-07-27,6997
2018-07-28,4371
2018-07-29,3703
2018-07-30,7238
2018-07-31,7216
2018-08-01,7261
2018-08-02,7278
2018-08-03,6753
2018-08-04,4028
2018-08-05,3380
2018-08-06,7132
2018-08-07,7300
2018-08-08,7453
2018-08-09,7546
2018-08-10,7171
2018-08-11,4448
2018-08-12,3901
2018-08-13,6687
2018-08-14,6909
2018-08-15,7209
2018-08-16,7271
2018-08-17,6715
2018-08-18,3845
2018-08-19,3436
2018-08-20,6585
2018-08-21,7325
2018-08-22,7445
2018-08-23,7237
2018-08-24,6726
2018-08-25,3784
2018-08-26,3236
2018-08-27,6707
2018-08-28,7152
2018-08-29,7306
2018-08-30,6838
2018-08-31,6098
2018-09-01,3355
2018-09-02,3498
2018-09-03,3333
2018-09-04,7203
2018-09-05,7322
2018-09-06,7575
2018-09-07,7220
2018-09-08,4400
2018-09-09,3831
2018-09-10,7395
2018-09-11,7959
2018-09-12,7900
2018-09-13,8231
2018-09-14,7117
2018-09-15,4098
2018-09-16,3679
2018-09-17,7201
2018-09-18,7563
2018-09-19,7822
2018-09-20,8137
2018-09-21,6998
2018-09-22,4134
2018-09-23,3803
2018-09-24,7196
2018-09-25,7604
2018-09-26,8005
2018-09-27,7748
2018-09-28,7161
2018-09-29,4705
2018-09-30,4024
2018-10-01,7475
2018-10-02,7036
2018-10-03,7928
2018-10-04,7785
2018-10-05,7166
2018-10-06,4300
2018-10-07,4176
2018-10-08,7131
2018-10-09,7582
2018-10-10,7607
2018-10-11,7345
2018-10-12,7086
2018-10-13,4160
2018-10-14,3714
2018-10-15,7545
2018-10-16,7856
2018-10-17,7793
2018-10-18,7507
2018-10-19,7098
2018-10-20,4121
2018-10-21,3309
2018-10-22,7023
2018-10-23,7452
2018-10-24,7775
2018-10-25,7328
2018-10-26,6939
2018-10-27,3983
2018-10-28,3396
2018-10-29,6964
2018-10-30,7564
2018-10-31,7314
2018-11-01,7513
2018-11-02,6953
2018-11-03,4149
2018-11-04,3732
2018-11-05,7205
2018-11-06,7695
2018-11-07,7256
2018-11-08,7227
2018-11-09,5796
2018-11-10,2797
2018-11-11,2460
2018-11-12,5062
2018-11-13,6176
2018-11-14,6102
2018-11-15,5256
2018-11-16,3427
2018-11-17,1957
2018-11-18,1794
2018-11-19,4419
2018-11-20,4371
2018-11-21,1661
2018-11-22,1093
2018-11-23,527
2018-11-24,1990
2018-11-25,2071
2018-11-26,5776
2018-11-27,4346
2018-11-28,5251
2018-11-29,4344
2018-11-30,5729
2018-12-01,2505
2018-12-02,2636
2018-12-03,5917
2018-12-04,5586
2018-12-05,4957
2018-12-06,6095
2018-12-07,5647
2018-12-08,3071
2018-12-09,2291
2018-12-10,5562
2018-12-11,6188
2018-12-12,6321
2018-12-13,6409
2018-12-14,5725
2018-12-15,3581
2018-12-16,1697
2018-12-17,6741
2018-12-18,6908
2018-12-19,6792
2018-12-20,6224
2018-12-21,4694
2018-12-22,2683
2018-12-23,2066
2018-12-24,1044
2018-12-25,1591
2018-12-26,3023
2018-12-27,3418
2018-12-28,3386
2018-12-29,2908
2018-12-30,2653
2018-12-31,3044
